movieId,title,imdbId,tmdbId
1,Toy Story (1995),114709,862
2,Jumanji (1995),113497,8844
3,Grumpier Old Men (1995),113228,15602
4,Waiting to Exhale (1995),114885,31357
5,Father of the Bride Part II (1995),113041,11862
6,Heat (1995),113277,949
7,Sabrina (1995),114319,11860
8,Tom and Huck (1995),112302,45325
9,Sudden Death (1995),114576,9091
10,GoldenEye (1995),113189,710
11,"American President, The (1995)",112346,9087
12,Dracula: Dead and Loving It (1995),112896,12110
13,Balto (1995),112453,21032
14,Nixon (1995),113987,10858
15,Cutthroat Island (1995),112760,1408
16,Casino (1995),112641,524
17,Sense and Sensibility (1995),114388,4584
18,Four Rooms (1995),113101,5
19,Ace Ventura: When Nature Calls (1995),112281,9273
20,Money Train (1995),113845,11517
21,Get Shorty (1995),113161,8012
22,Copycat (1995),112722,1710
23,Assassins (1995),112401,9691
24,Powder (1995),114168,12665
25,Leaving Las Vegas (1995),113627,451
26,Othello (1995),114057,16420
27,Now and Then (1995),114011,9263
28,Persuasion (1995),114117,17015
29,"City of Lost Children, The (Cit?? des enfants perdus, La) (1995)",112682,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),115012,37557
31,Dangerous Minds (1995),112792,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746,63
34,Babe (1995),112431,9598
36,Dead Man Walking (1995),112818,687
38,It Takes Two (1995),113442,33689
39,Clueless (1995),112697,9603
40,"Cry, the Beloved Country (1995)",112749,34615
41,Richard III (1995),114279,31174
42,Dead Presidents (1995),112819,11443
43,Restoration (1995),114272,35196
44,Mortal Kombat (1995),113855,9312
45,To Die For (1995),114681,577
46,How to Make an American Quilt (1995),113347,11861
47,Seven (a.k.a. Se7en) (1995),114369,807
48,Pocahontas (1995),114148,10530
49,When Night Is Falling (1995),114916,8391
50,"Usual Suspects, The (1995)",114814,629
52,Mighty Aphrodite (1995),113819,11448
53,Lamerica (1994),110299,49133
54,"Big Green, The (1995)",112499,26441
55,Georgia (1995),113158,97406
57,Home for the Holidays (1995),113321,9089
58,"Postman, The (Postino, Il) (1994)",110877,11010
60,"Indian in the Cupboard, The (1995)",113419,11359
61,Eye for an Eye (1996),116260,17182
62,Mr. Holland's Opus (1995),113862,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),116126,10607
64,Two if by Sea (1996),118002,19760
65,Bio-Dome (1996),115683,9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),116839,11525
68,French Twist (Gazon maudit) (1995),113149,4482
69,Friday (1995),113118,10634
70,From Dusk Till Dawn (1996),116367,755
71,Fair Game (1995),113010,11859
