movieId,title,imdbId,tmdbId,Date
1,ToyStory,0114709,862,1995
2,Jumanji,0113497,8844,1995
3,GrumpierOldMen,0113228,15602,1995
4,WaitingtoExhale,0114885,31357,1995
5,FatheroftheBridePartII,0113041,11862,1995
6,Heat,0113277,949,1995
7,Sabrina,0114319,11860,1995
8,TomandHuck,0112302,45325,1995
9,SuddenDeath,0114576,9091,1995
10,GoldenEye,0113189,710,1995
11,"AmericanPresident,The",0112346,9087,1995
12,Dracula:DeadandLovingIt,0112896,12110,1995
13,Balto,0112453,21032,1995
14,Nixon,0113987,10858,1995
15,CutthroatIsland,0112760,1408,1995
16,Casino,0112641,524,1995
17,SenseandSensibility,0114388,4584,1995
18,FourRooms,0113101,5,1995
19,AceVentura:WhenNatureCalls,0112281,9273,1995
20,MoneyTrain,0113845,11517,1995
21,GetShorty,0113161,8012,1995
22,Copycat,0112722,1710,1995
23,Assassins,0112401,9691,1995
24,Powder,0114168,12665,1995
25,LeavingLasVegas,0113627,451,1995
26,Othello,0114057,16420,1995
27,NowandThen,0114011,9263,1995
28,Persuasion,0114117,17015,1995
29,"CityofLostChildren,The(Cit??desenfantsperdus,La)",0112682,902,1995
30,ShanghaiTriad(Yaoayaoyaodaowaipoqiao),0115012,37557,1995
31,DangerousMinds,0112792,9909,1995
32,TwelveMonkeys(a.k.a.12Monkeys),0114746,63,1995
34,Babe,0112431,9598,1995
36,DeadManWalking,0112818,687,1995
38,ItTakesTwo,0113442,33689,1995
39,Clueless,0112697,9603,1995
40,"Cry,theBelovedCountry",0112749,34615,1995
41,RichardIII,0114279,31174,1995
42,DeadPresidents,0112819,11443,1995
43,Restoration,0114272,35196,1995
44,MortalKombat,0113855,9312,1995
45,ToDieFor,0114681,577,1995
46,HowtoMakeanAmericanQuilt,0113347,11861,1995
47,Seven(a.k.a.Se7en),0114369,807,1995
48,Pocahontas,0114148,10530,1995
49,WhenNightIsFalling,0114916,8391,1995
50,"UsualSuspects,The",0114814,629,1995
52,MightyAphrodite,0113819,11448,1995
53,Lamerica,0110299,49133,1994
54,"BigGreen,The",0112499,26441,1995
55,Georgia,0113158,97406,1995
57,HomefortheHolidays,0113321,9089,1995
58,"Postman,The(Postino,Il)",0110877,11010,1994
60,"IndianintheCupboard,The",0113419,11359,1995
61,EyeforanEye,0116260,17182,1996
62,Mr.Holland'sOpus,0113862,2054,1995
63,Don'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood,0116126,10607,1996
64,TwoifbySea,0118002,19760,1996
65,Bio-Dome,0115683,9536,1996
66,LawnmowerMan2:BeyondCyberspace,0116839,11525,1996
68,FrenchTwist(Gazonmaudit),0113149,4482,1995
69,Friday,0113118,10634,1995
70,FromDuskTillDawn,0116367,755,1996
71,FairGame,0113010,11859,1995
72,KickingandScreaming,0113537,28387,1995
73,"Mis??rables,Les",0113828,48750,1995
74,BedofRoses,0115644,20927,1996
75,BigBully,0115676,36929,1996
76,Screamers,0114367,9102,1995
77,NicoIcon,0113973,124626,1995
78,"CrossingGuard,The",0112744,27526,1995
79,"Juror,The",0116731,9623,1996
80,"WhiteBalloon,The(Badkonakesefid)",0112445,46785,1995
81,ThingstoDoinDenverWhenYou'reDead,0114660,400,1995
82,Antonia'sLine(Antonia),0112379,880,1995
83,OnceUponaTime...WhenWeWereColored,0114039,146599,1995
85,AngelsandInsects,0112365,8447,1995
86,WhiteSquall,0118158,10534,1996
87,DunstonChecksIn,0116151,17414,1996
88,BlackSheep,0115697,13997,1996
89,NickofTime,0113972,2086,1995
92,MaryReilly,0117002,9095,1996
93,VampireinBrooklyn,0114825,12158,1995
94,BeautifulGirls,0115639,9283,1996
95,BrokenArrow,0115759,9208,1996
96,IntheBleakMidwinter,0113403,40154,1995
97,"Hate(Haine,La)",0113247,406,1995
99,HeidiFleiss:HollywoodMadam,0113283,63076,1995
100,CityHall,0115907,11062,1996
101,BottleRocket,0115734,13685,1996
102,Mr.Wrong,0117102,47475,1996
103,Unforgettable,0118040,2045,1996
104,HappyGilmore,0116483,9614,1996
105,"BridgesofMadisonCounty,The",0112579,688,1995
106,NobodyLovesMe(Keinerliebtmich),0110251,11907,1994
107,MuppetTreasureIsland,0117110,10874,1996
108,Catwalk,0112646,89333,1996
110,Braveheart,0112573,197,1995
111,TaxiDriver,0075314,103,1976
112,RumbleintheBronx(Hontfaankui),0113326,33542,1995
113,BeforeandAfter,0115645,43566,1996
116,AnneFrankRemembered,0112373,51352,1995
117,"YoungPoisoner'sHandbook,The",0115033,16934,1995
118,IfLucyFell,0116606,10324,1996
119,"StealBig,StealLittle",0114536,78406,1995
121,"BoysofSt.Vincent,The",0106473,32119,1992
122,Boomerang,0103859,11066,1992
123,ChungkingExpress(ChungHingsamlam),0109424,11104,1994
125,FlirtingWithDisaster,0116324,2074,1996
126,"NeverEndingStoryIII,The",0110647,27793,1994
128,Jupiter'sWife,0110217,290157,1994
129,PieintheSky,0114131,110972,1996
132,Jade,0113451,11863,1995
135,DownPeriscope,0116130,9101,1996
137,ManoftheYear,0113756,5757,1995
140,UpCloseandPersonal,0118055,9302,1996
141,"Birdcage,The",0115685,11000,1996
144,"BrothersMcMullen,The",0112585,16388,1995
145,BadBoys,0112442,9737,1995
146,"AmazingPandaAdventure,The",0112342,30765,1995
147,"BasketballDiaries,The",0112461,10474,1995
148,"AwfullyBigAdventure,An",0112427,22279,1995
149,Amateur,0109093,30157,1994
150,Apollo13,0112384,568,1995
151,RobRoy,0114287,11780,1995
152,"Addiction,The",0112288,34996,1995
153,BatmanForever,0112462,414,1995
154,BeautyoftheDay(Belledejour),0061395,649,1967
155,BeyondRangoon,0112495,1873,1995
156,BlueintheFace,0112541,5894,1995
157,CanadianBacon,0109370,1775,1995
158,Casper,0112642,8839,1995
159,Clockers,0112688,20649,1995
160,Congo,0112715,10329,1995
161,CrimsonTide,0112740,8963,1995
162,Crumb,0109508,26564,1994
163,Desperado,0112851,8068,1995
164,DevilinaBlueDress,0112857,8512,1995
165,DieHard:WithaVengeance,0112864,1572,1995
166,"DoomGeneration,The",0112887,13552,1995
168,FirstKnight,0113071,6520,1995
169,FreeWilly2:TheAdventureHome,0113114,9073,1995
170,Hackers,0113243,10428,1995
171,Jeffrey,0113464,17447,1995
172,JohnnyMnemonic,0113481,9886,1995
173,JudgeDredd,0113492,9482,1995
174,JuryDuty,0113500,19326,1995
175,Kids,0113540,9344,1995
176,LivinginOblivion,0113677,9071,1995
177,LordofIllusions,0113690,8973,1995
178,Love&HumanRemains,0107447,15730,1993
179,MadLove,0113729,47608,1995
180,Mallrats,0113749,2293,1995
181,MightyMorphinPowerRangers:TheMovie,0113820,9070,1995
183,MuteWitness,0110604,48787,1994
184,Nadja,0110620,34574,1994
185,"Net,The",0113957,1642,1995
186,NineMonths,0113986,11472,1995
187,PartyGirl,0114095,36196,1995
188,"Prophecy,The",0114194,11980,1995
189,Reckless,0114241,58372,1995
190,Safe,0114323,32646,1995
191,"ScarletLetter,The",0114345,10533,1995
193,Showgirls,0114436,10802,1995
194,Smoke,0114478,10149,1995
195,SomethingtoTalkAbout,0114496,18402,1995
196,Species,0114508,9348,1995
198,StrangeDays,0114558,281,1995
199,"UmbrellasofCherbourg,The(ParapluiesdeCherbourg,Les)",0058450,5967,1964
201,ThreeWishes,0114663,47939,1995
202,TotalEclipse,0114702,36834,1995
203,"ToWongFoo,ThanksforEverything!JulieNewmar",0114682,9090,1995
204,UnderSiege2:DarkTerritory,0114781,3512,1995
205,UnstrungHeroes,0114798,52856,1995
206,Unzipped,0114805,77350,1995
207,"WalkintheClouds,A",0114887,9560,1995
208,Waterworld,0114898,9804,1995
209,WhiteMan'sBurden,0114928,31611,1995
210,WildBill,0114938,65796,1995
211,"BrowningVersion,The",0109340,49805,1994
212,Bushwhacked,0112602,26258,1995
213,BurntbytheSun(Utomlyonnyesolntsem),0111579,50797,1994
214,BeforetheRain(Preddozhdot),0110882,19155,1994
215,BeforeSunrise,0112471,76,1995
216,BillyMadison,0112508,11017,1995
217,"Babysitter,The",0112438,37141,1995
218,BoysontheSide,0112571,9382,1995
219,"Cure,The",0112757,6715,1995
220,CastleFreak,0112643,18256,1995
222,CircleofFriends,0112679,22625,1995
223,Clerks,0109445,2292,1994
224,DonJuanDeMarco,0112883,1909,1995
225,Disclosure,0109635,8984,1994
227,DropZone,0109676,4954,1994
228,DestinyTurnsontheRadio,0112854,62488,1995
229,DeathandtheMaiden,0109579,10531,1994
230,DoloresClaiborne,0109642,11929,1995
231,Dumb&Dumber(DumbandDumber),0109686,8467,1994
232,EatDrinkManWoman(Yinshinannu),0111797,10451,1994
233,Exotica,0109759,20156,1994
234,ExittoEden,0109758,18395,1994
235,EdWood,0109707,522,1994
236,FrenchKiss,0113117,397,1995
237,ForgetParis,0113097,10525,1995
238,FarFromHome:TheAdventuresofYellowDog,0113028,27985,1995
239,"GoofyMovie,A",0113198,15789,1995
240,Hideaway,0113303,27303,1995
241,Fluke,0113089,21183,1995
242,Farinelli:ilcastrato,0109771,10954,1994
243,Gordy,0113199,47867,1995
246,HoopDreams,0110057,14275,1994
247,HeavenlyCreatures,0110005,1024,1994
248,Houseguest,0110066,17207,1994
249,ImmortalBeloved,0110116,13701,1994
250,Heavyweights(HeavyWeights),0110006,14819,1995
251,"Hunted,The",0113360,32631,1995
252,I.Q.,0110099,11777,1994
253,InterviewwiththeVampire:TheVampireChronicles,0110148,628,1994
254,JeffersoninParis,0113463,87729,1995
255,"JerkyBoys,The",0110189,18713,1995
256,Junior,0110216,6280,1994
257,JustCause,0113501,9061,1995
258,"KidinKingArthur'sCourt,A",0113538,37108,1995
259,KissofDeath,0113552,6071,1995
260,StarWars:EpisodeIV-ANewHope,0076759,11,1977
261,LittleWomen,0110367,9587,1994
262,"LittlePrincess,A",0113670,19101,1995
263,LadybirdLadybird,0110296,49980,1994
265,LikeWaterforChocolate(Comoaguaparachocolate),0103994,18183,1992
266,LegendsoftheFall,0110322,4476,1994
267,MajorPayne,0110443,11008,1995
269,MyCrazyLife(Mividaloca),0107566,32325,1993
270,LoveAffair,0110391,43742,1994
271,LosingIsaiah,0113691,28313,1995
272,"MadnessofKingGeorge,The",0110428,11318,1994
273,MaryShelley'sFrankenstein(Frankenstein),0109836,3036,1994
274,ManoftheHouse,0113755,40490,1995
275,MixedNuts,0110538,24070,1994
276,MilkMoney,0110516,8986,1994
277,Miracleon34thStreet,0110527,10510,1994
278,MiamiRhapsody,0113808,17402,1995
279,MyFamily,0113896,38722,1995
280,MurderintheFirst,0113870,8438,1995
281,Nobody'sFool,0110684,11593,1994
282,Nell,0110638,1945,1994
283,NewJerseyDrive,0113967,39310,1995
284,NewYorkCop(Ny??Y??kunokoppu),0117169,109560,1993
285,BeyondBedlam,0106402,56428,1993
287,NinaTakesaLover,0110671,131957,1994
288,NaturalBornKillers,0110632,241,1994
289,OnlyYou,0110737,9058,1994
290,OnceWereWarriors,0110729,527,1994
291,PoisonIvyII,0114151,18220,1996
292,Outbreak,0114069,6950,1995
293,L??on:TheProfessional(a.k.a.TheProfessional)(L??on),0110413,101,1994
294,"PerezFamily,The",0114113,63020,1995
295,"Pyromaniac'sLoveStory,A",0114210,2307,1995
296,PulpFiction,0110912,680,1994
298,PushingHands(Tuishou),0105652,25296,1992
299,Priest,0110889,40156,1994
300,QuizShow,0110932,11450,1994
301,PictureBride(Bijophoto),0114129,30304,1994
302,"QueenMargot(ReineMargot,La)",0110963,10452,1994
303,"QuickandtheDead,The",0114214,12106,1995
304,Roommates,0114296,161495,1995
305,ReadytoWear(Pret-A-Porter),0110907,3586,1994
306,ThreeColors:Red(Troiscouleurs:Rouge),0111495,110,1994
307,ThreeColors:Blue(Troiscouleurs:Bleu),0108394,108,1993
308,ThreeColors:White(Trzykolory:Bialy),0111507,109,1994
310,Rent-a-Kid,0114268,36357,1995
311,RelativeFear,0110965,92769,1994
312,StuartSavesHisFamily,0114571,28033,1995
313,"SwanPrincess,The",0111333,22586,1994
314,"SecretofRoanInish,The",0111112,14334,1994
315,"Specialist,The",0111255,2636,1994
316,Stargate,0111282,2164,1994
317,"SantaClause,The",0111070,11395,1994
318,"ShawshankRedemption,The",0111161,278,1994
319,ShallowGrave,0111149,9905,1994
320,Suture,0108260,87078,1993
321,StrawberryandChocolate(Fresaychocolate),0106966,12527,1993
322,SwimmingwithSharks,0114594,20306,1995
324,"SumofUs,The",0111309,36614,1994
325,NationalLampoon'sSeniorTrip,0113936,27993,1995
326,ToLive(Huozhe),0110081,31439,1994
327,TankGirl,0114614,9067,1995
328,TalesfromtheCryptPresents:DemonKnight,0114608,9059,1995
329,StarTrek:Generations,0111280,193,1994
330,TalesfromtheHood,0114609,25066,1995
331,Tom&Viv,0111454,46797,1994
332,VillageoftheDamned,0114852,12122,1995
333,TommyBoy,0114694,11381,1995
334,Vanyaon42ndStreet,0111590,32636,1994
335,Underneath,0114788,36141,1995
336,"WalkingDead,The",0114888,95963,1995
337,What'sEatingGilbertGrape,0108550,1587,1993
338,Virtuosity,0114857,9271,1995
339,WhileYouWereSleeping,0114924,2064,1995
340,"War,The",0111667,19855,1994
341,DoubleHappiness,0109655,60855,1994
342,Muriel'sWedding,0110598,236,1994
343,"Baby-SittersClub,The",0112435,48287,1995
344,AceVentura:PetDetective,0109040,3049,1994
345,"AdventuresofPriscilla,QueenoftheDesert,The",0109045,2759,1994
346,Backbeat,0106339,12635,1993
347,BitterMoon,0104779,10497,1992
348,BulletsOverBroadway,0109348,11382,1994
349,ClearandPresentDanger,0109444,9331,1994
350,"Client,The",0109446,10731,1994
351,"Corrina,Corrina",0109484,10464,1994
352,Crooklyn,0109504,34152,1994
353,"Crow,The",0109506,9495,1994
354,Cobb,0109450,29973,1994
355,"Flintstones,The",0109813,888,1994
356,ForrestGump,0109830,13,1994
357,FourWeddingsandaFuneral,0109831,712,1994
358,HigherLearning,0113305,16295,1995
359,ILikeItLikeThat,0110091,48992,1994
360,ILoveTrouble,0110093,10879,1994
361,ItCouldHappentoYou,0110167,10660,1994
362,"JungleBook,The",0110213,10714,1994
363,"Wonderful,HorribleLifeofLeniRiefenstahl,The(MachtderBilder:LeniRiefenstahl,Die)",0107472,41647,1993
364,"LionKing,The",0110357,8587,1994
365,LittleBuddha,0107426,1689,1993
366,"WesCraven'sNewNightmare(NightmareonElmStreetPart7:Freddy'sFinale,A)",0111686,11596,1994
367,"Mask,The",0110475,854,1994
368,Maverick,0110478,9359,1994
369,Mrs.ParkerandtheViciousCircle,0110588,23333,1994
370,NakedGun331/3:TheFinalInsult,0110622,36593,1994
371,"Paper,The",0110771,12280,1994
372,RealityBites,0110950,2788,1994
373,RedRockWest,0105226,10427,1992
374,RichieRich,0110989,11011,1994
376,"RiverWild,The",0110997,8987,1994
377,Speed,0111257,1637,1994
378,Speechless,0111256,15128,1994
379,Timecop,0111438,8831,1994
380,TrueLies,0111503,36955,1994
381,WhenaManLovesaWoman,0111693,10449,1994
382,Wolf,0111742,10395,1994
383,WyattEarp,0111756,12160,1994
384,BadCompany,0112443,40480,1995
385,"ManofNoImportance,A",0110455,52038,1994
386,S.F.W.,0111048,29444,1994
387,"LowDownDirtyShame,A",0110399,26352,1994
388,BoysLife,0112570,39953,1995
389,"ColonelChabert,Le",0109454,41580,1994
390,FasterPussycat!Kill!Kill!,0059170,315,1965
391,Jason'sLyric,0110186,22067,1994
393,StreetFighter,0111301,11667,1994
405,HighlanderIII:TheSorcerer(a.k.a.Highlander:TheFinalDimension),0110027,8011,1994
406,FederalHill,0109785,171857,1994
407,IntheMouthofMadness,0113409,2654,1995
408,8Seconds,0109021,18069,1994
409,AbovetheRim,0109035,19092,1994
410,AddamsFamilyValues,0106220,2758,1993
412,"AgeofInnocence,The",0106226,10436,1993
413,Airheads,0109068,13595,1994
414,"AirUpThere,The",0109067,46094,1994
415,AnotherStakeout,0106292,9409,1993
416,BadGirls,0109198,11853,1994
417,Barcelona,0109219,16771,1994
418,BeingHuman,0106379,46924,1993
419,"BeverlyHillbillies,The",0106400,11041,1993
420,BeverlyHillsCopIII,0109254,306,1994
421,BlackBeauty,0109279,14522,1994
422,Blink,0109297,26203,1994
423,BlownAway,0109303,178,1994
424,BlueChips,0109305,19819,1994
425,BlueSky,0109306,57834,1994
426,BodySnatchers,0106452,4722,1993
427,BoxingHelena,0106471,18215,1993
428,"BronxTale,A",0106489,1607,1993
429,CabinBoy,0109361,26391,1994
430,CalendarGirl,0106505,117553,1993
431,Carlito'sWay,0106519,6075,1993
432,CitySlickersII:TheLegendofCurly'sGold,0109439,11310,1994
433,CleanSlate,0109443,18658,1994
434,Cliffhanger,0106582,9350,1993
435,Coneheads,0106598,9612,1993
436,ColorofNight,0109456,2124,1994
437,CopsandRobbersons,0109480,26261,1994
438,"CowboyWay,The",0109493,19176,1994
440,Dave,0106673,11566,1993
441,DazedandConfused,0106677,9571,1993
442,DemolitionMan,0106697,9739,1993
444,EvenCowgirlsGettheBlues,0106834,34444,1993
445,FatalInstinct,0106873,26141,1993
446,FarewellMyConcubine(Bawangbieji),0106332,10997,1993
448,Fearless,0106881,10443,1993
449,FearofaBlackHat,0106880,20239,1994
450,WithHonors,0111732,16297,1994
451,FleshandBone,0106926,18551,1993
452,Widows'Peak,0111712,25440,1994
453,ForLoveorMoney,0106941,9024,1993
454,"Firm,The",0106918,37233,1993
455,FreeWilly,0106965,1634,1993
456,Fresh,0109842,13815,1994
457,"Fugitive,The",0106977,5503,1993
458,Geronimo:AnAmericanLegend,0107004,35588,1993
459,"Getaway,The",0109890,2087,1994
460,GettingEvenwithDad,0109891,41579,1994
461,GoFish,0109913,18620,1994
464,HardTarget,0107076,2019,1993
466,HotShots!PartDeux,0107144,9255,1993
467,LiveNudeGirls,0113674,26271,1995
468,"EnglishmanWhoWentUpaHillButCameDownaMountain,The",0112966,10612,1995
469,"HouseoftheSpirits,The",0107151,2259,1993
470,HouseParty3,0110064,16097,1994
471,"HudsuckerProxy,The",0110074,11934,1994
472,I'llDoAnything,0110097,106143,1994
473,IntheArmyNow,0110123,12475,1994
474,IntheLineofFire,0107206,9386,1993
475,IntheNameoftheFather,0107207,7984,1993
476,"Inkwell,The",0110137,59930,1994
477,What'sLoveGottoDowithIt?,0108551,15765,1993
478,JimmyHollywood,0110197,31643,1994
479,JudgmentNight,0107286,6,1993
480,JurassicPark,0107290,329,1993
481,Kalifornia,0107302,10909,1993
482,KillingZoe,0110265,507,1994
484,Lassie,0110305,29918,1994
485,LastActionHero,0107362,9593,1993
486,LifewithMikey,0107413,42580,1993
487,LightningJack,0110353,22317,1994
488,M.Butterfly,0107468,1413,1993
489,MadeinAmerica,0107478,12121,1993
490,Malice,0107497,2246,1993
491,"ManWithoutaFace,The",0107501,10502,1993
492,ManhattanMurderMystery,0107507,10440,1993
493,MenaceIISociety,0107554,9516,1993
494,ExecutiveDecision,0116253,2320,1996
495,IntheRealmoftheSenses(Ainocorrida),0074102,5879,1976
496,WhatHappenedWas...,0111689,83718,1994
497,MuchAdoAboutNothing,0107616,11971,1993
499,Mr.Wonderful,0107613,31911,1993
500,Mrs.Doubtfire,0107614,788,1993
501,Naked,0107653,21450,1993
502,"NextKarateKid,The",0110657,11231,1994
504,NoEscape,0110678,10447,1994
505,North,0110687,31586,1994
506,Orlando,0107756,9300,1992
507,"PerfectWorld,A",0107808,9559,1993
508,Philadelphia,0107818,9800,1993
509,"Piano,The",0107822,713,1993
510,PoeticJustice,0107840,8291,1993
511,"Program,The",0107889,18133,1993
512,"PuppetMasters,The",0111003,25557,1994
513,RadiolandMurders,0110939,22588,1994
514,"Ref,The",0110955,10872,1994
515,"RemainsoftheDay,The",0107943,1245,1993
516,RenaissanceMan,0110971,11858,1994
517,RisingSun,0107969,7007,1993
518,"RoadtoWellville,The",0111001,10467,1994
519,RoboCop3,0107978,5550,1993
520,RobinHood:MeninTights,0107977,8005,1993
521,RomeoIsBleeding,0107983,2088,1993
522,RomperStomper,0105275,10412,1992
523,RubyinParadise,0108000,47889,1993
524,Rudy,0108002,14534,1993
526,"SavageNights(Nuitsfauves,Les)",0105032,41878,1992
527,Schindler'sList,0108052,424,1993
528,"Scout,The",0111094,35233,1994
529,SearchingforBobbyFischer,0108065,14291,1993
531,"SecretGarden,The",0108071,11236,1993
532,SerialMom,0111127,11592,1994
533,"Shadow,The",0111143,8850,1994
534,Shadowlands,0108101,10445,1993
535,ShortCuts,0108122,695,1993
536,"SimpleTwistofFate,A",0111194,43535,1994
537,Sirens,0111201,12519,1994
538,SixDegreesofSeparation,0108149,23210,1993
539,SleeplessinSeattle,0108160,858,1993
540,Sliver,0108162,867,1993
541,BladeRunner,0083658,78,1982
542,SoninLaw,0108186,13203,1993
543,SoIMarriedanAxeMurderer,0108174,10442,1993
544,StrikingDistance,0108238,11074,1993
546,SuperMarioBros.,0108255,9607,1993
547,SurvivingtheGame,0111323,17585,1994
548,TerminalVelocity,0111400,9057,1994
549,Thirty-TwoShortFilmsAboutGlennGould,0108328,20967,1993
550,Threesome,0111418,10635,1994
551,"NightmareBeforeChristmas,The",0107688,9479,1993
552,"ThreeMusketeers,The",0108333,10057,1993
553,Tombstone,0108358,11969,1993
555,TrueRomance,0108399,319,1993
556,"WarRoom,The",0108515,26408,1993
558,"Pagemaster,The",0110763,15139,1994
562,WelcometotheDollhouse,0114906,11446,1995
563,Germinal,0107002,51980,1993
564,Chasers,0109403,24405,1994
567,Kika,0107315,8223,1993
568,BhajiontheBeach,0106408,14587,1993
569,LittleBigLeague,0110363,31504,1994
573,"Ciao,Professore!(Iosperiamochemelacavo)",0107225,23637,1992
574,SpankingtheMonkey,0111252,17600,1994
575,"LittleRascals,The",0110366,10897,1994
577,Andre,0109120,21352,1994
579,"Escort,The(Scorta,La)",0108059,68806,1993
580,PrincessCaraboo,0110892,37345,1994
581,"CelluloidCloset,The",0112651,32562,1995
583,DearDiary(CaroDiario),0109382,25403,1994
585,"BradyBunchMovie,The",0112572,9066,1995
586,HomeAlone,0099785,771,1990
587,Ghost,0099653,251,1990
588,Aladdin,0103639,812,1992
589,Terminator2:JudgmentDay,0103064,280,1991
590,DanceswithWolves,0099348,581,1990
592,Batman,0096895,268,1989
593,"SilenceoftheLambs,The",0102926,274,1991
594,SnowWhiteandtheSevenDwarfs,0029583,408,1937
595,BeautyandtheBeast,0101414,10020,1991
596,Pinocchio,0032910,10895,1940
597,PrettyWoman,0100405,114,1990
599,"WildBunch,The",0065214,576,1969
600,Loveanda.45,0110395,15477,1994
602,"GreatDayinHarlem,A",0109934,124472,1994
605,OneFineDay,0117247,7300,1996
606,Candyman:FarewelltotheFlesh,0112625,10824,1995
608,Fargo,0116282,275,1996
609,HomewardBoundII:LostinSanFrancisco,0116552,25059,1996
610,HeavyMetal,0082509,11827,1981
611,Hellraiser:Bloodline,0116514,8766,1996
612,"Pallbearer,The",0117283,23570,1996
613,JaneEyre,0116684,47333,1996
615,BreadandChocolate(Paneecioccolata),0070506,51242,1973
616,"Aristocats,The",0065421,10112,1970
617,"FlowerofMySecret,The(Laflordemisecreto)",0113083,4307,1995
618,TwoMuch,0118001,46029,1995
619,Ed,0116165,32308,1996
626,"ThinLineBetweenLoveandHate,A",0117891,28121,1996
627,"LastSupper,The",0113613,12520,1995
628,PrimalFear,0117381,1592,1996
631,AllDogsGotoHeaven2,0115509,19042,1996
632,LandandFreedom(Tierraylibertad),0114671,38884,1995
633,DeniseCallsUp,0112844,47449,1995
634,TheodoreRex,0114658,36259,1995
635,"FamilyThing,A",0116275,41852,1996
636,Frisk,0113122,40926,1995
637,Sgt.Bilko,0117608,9099,1996
638,JackandSarah,0113448,2021,1995
639,Girl6,0116414,61752,1996
640,Diabolique,0116095,10988,1996
645,Nelly&MonsieurArnaud,0113947,12652,1995
647,CourageUnderFire,0115956,10684,1996
648,Mission:Impossible,0117060,954,1996
649,ColdFever(??k??ldumklaka),0109028,68445,1995
650,MollFlanders,0117071,18989,1996
653,Dragonheart,0116136,8840,1996
656,Eddie,0116168,11107,1996
661,JamesandtheGiantPeach,0116683,10539,1996
662,Fear,0116287,10543,1996
663,KidsintheHall:BrainCandy,0116768,18414,1996
665,Underground,0114787,11902,1995
